ticket_number,issued_date,location,description,status,dayofweek,hourofday,lat,lon,count,amount
371770D,2023/01/01 01:10:00+00,100 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Sunday,1,43.048044,-76.153734,1,25
369471D,2023/01/01 19:45:00+00,700 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,19,43.037936650000006,-76.12608987597199,1,25
389534D,2023/01/01 21:14:00+00,800 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
389535D,2023/01/01 21:15:00+00,800 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
389544D,2023/01/01 21:45:00+00,300 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.0334904,-76.1176299,1,25
389547D,2023/01/01 21:56:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.0334904,-76.1176299,1,60
376220D,2023/01/02 04:18:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
376221D,2023/01/02 04:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,4,43.113505702811246,-76.11989651004016,1,25
376222D,2023/01/02 04:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
376223D,2023/01/02 04:22:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
376226D,2023/01/03 04:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Approved,Tuesday,4,43.113505702811246,-76.11989651004016,1,0
392568D,2023/01/02 18:05:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,18,43.113505702811246,-76.11989651004016,1,25
392566D,2023/01/02 12:00:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,12,43.113505702811246,-76.11989651004016,1,25
392346D,2023/01/02 09:11:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,9,43.113505702811246,-76.11989651004016,1,25
392569D,2023/01/02 18:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,18,43.113505702811246,-76.11989651004016,1,25
376224D,2023/01/02 12:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,12,43.113505702811246,-76.11989651004016,1,25
395967D,2023/01/02 22:42:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,60
395968D,2023/01/02 22:45:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
395970D,2023/01/02 22:57:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
395972D,2023/01/02 22:56:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,25
392347D,2023/01/02 14:32:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,14,43.113505702811246,-76.11989651004016,1,25
392349D,2023/01/02 17:45:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,17,43.113505702811246,-76.11989651004016,1,25
392348D,2023/01/02 15:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,Monday,15,43.113505702811246,-76.11989651004016,1,25
395988D,2023/01/02 23:48:00+00,700 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.038331,-76.1207114,1,60
395990D,2023/01/02 23:59:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.036473,-76.123268,1,60
395989D,2023/01/02 23:50:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Monday,23,43.036473,-76.123268,1,0
3911204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.063417,-76.122402,1,60
391205D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
391204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
23500001,2023/01/03 09:57:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,60
23500003,2023/01/03 10:00:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
23500002,2023/01/03 09:57:00+00,300 FORMAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,25
23500005,2023/01/03 10:01:00+00,300 FORMAN AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,Tuesday,10,43.048391,-76.140049,1,25
23500004,2023/01/03 10:01:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.048391,-76.140049,1,25
23500006,2023/01/03 10:03:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,25
23500007,2023/01/03 10:04:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
23500010,2023/01/03 10:16:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
23500011,2023/01/03 10:19:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Tuesday,10,43.0484055,-76.1374615,1,25
23500009,2023/01/03 10:12:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
23500008,2023/01/03 10:11:00+00,900 FAYETTE ST E,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.0484055,-76.1374615,1,25
23500013,2023/01/03 10:28:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,10,43.047635,-76.134138,1,60
231500002,2023/01/03 10:29:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.052202,-76.147976,1,60
231500001,2023/01/03 10:28:00+00,100 BURNET AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.052202,-76.147976,1,25
231500004,2023/01/03 10:36:00+00,100 WAYNE ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,10,43.0541216,-76.1421976,1,25
231500003,2023/01/03 10:30:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.052202,-76.147976,1,60
231500005,2023/01/03 10:36:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.0541216,-76.1421976,1,60
231500006,2023/01/03 10:38:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.0541216,-76.1421976,1,60
23500014,2023/01/03 10:42:00+00,800 SUMNER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.036339,-76.125755,1,25
231500007,2023/01/03 10:42:00+00,200 HAWLEY AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Tuesday,10,43.0531245,-76.1436109,1,25
231500008,2023/01/03 10:42:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.0531245,-76.1436109,1,60
231500009,2023/01/03 10:43:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Tuesday,10,43.0531245,-76.1436109,1,0
231500011,2023/01/03 10:48:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Denied,Tuesday,10,43.055433,-76.137463,1,25
231500010,2023/01/03 10:47:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.055433,-76.137463,1,60
231500012,2023/01/03 10:48:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied,Tuesday,10,43.055433,-76.137463,1,60
231500013,2023/01/03 10:50:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.055433,-76.137463,1,25
231500014,2023/01/03 10:53:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.055433,-76.137463,1,60
23500015,2023/01/03 10:57:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,10,43.037424,-76.123079,1,25
23500016,2023/01/03 11:00:00+00,100 JUDSON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,11,43.0406743,-76.1218189,1,60
23500017,2023/01/03 11:00:00+00,100 JUDSON ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Fourth Notice,Tuesday,11,43.0406743,-76.1218189,1,60
23500018,2023/01/03 11:05:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
23500019,2023/01/03 11:05:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
23500021,2023/01/03 11:06:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
23500020,2023/01/03 11:06:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
23500022,2023/01/03 11:08:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,11,43.041795,-76.120445,1,60
23500023,2023/01/03 11:08:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Fourth Notice,Tuesday,11,43.041795,-76.120445,1,60
231500021,2023/01/03 11:13:00+00,400 BOYDEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,11,43.0610818,-76.1219148,1,25
231500020,2023/01/03 11:12:00+00,400 BOYDEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,11,43.0610818,-76.1219148,1,25
395936D,2023/01/03 11:11:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
395937D,2023/01/03 11:13:00+00,100 DELL ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,25
395938D,2023/01/03 11:15:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
392575D,2023/01/03 10:35:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Tuesday,10,43.113505702811246,-76.11989651004016,1,25
392574D,2023/01/03 11:36:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Tuesday,11,43.113505702811246,-76.11989651004016,1,25
382126D,2023/01/03 09:20:00+00,511 STATE ST S,PARKED IN LOADING ZONE/ALL CO15-329,Fourth Notice,Tuesday,9,0.0,0.0,1,25
382127D,2023/01/03 10:47:00+00,600 STATE ST S,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,Tuesday,10,43.0415743,-76.1723785,1,25
382128D,2023/01/03 10:48:00+00,600 STATE ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,Tuesday,10,43.0415743,-76.1723785,1,25
382129D,2023/01/03 10:50:00+00,600 STATE ST S,NONE/ONE LICENSE PLATE/ALL VTL402-1,Adjudication Pending ,Tuesday,10,43.0415743,-76.1723785,1,25
382130D,2023/01/03 11:08:00+00,401 MONTGOMERY ST,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,Tuesday,11,43.0466396,-76.1483142,1,25
376225D,2023/01/03 08:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Tuesday,8,43.113505702811246,-76.11989651004016,1,25
395928D,2023/01/03 10:26:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.047635,-76.134138,1,60
395925D,2023/01/03 10:14:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
395929D,2023/01/03 10:31:00+00,500 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.0465308,-76.1323599,1,60
395932D,2023/01/03 10:57:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,Tuesday,10,43.037424,-76.123079,1,25
